Protein	Term
Q9GZT4	GO:0030165
Q9GZT4	GO:0042803
Q9GZT4	GO:0000287
Q9GZT4	GO:0005524
Q05209	GO:0017124
Q8WXB1	GO:0051117
P47884	GO:0004984
P0DP02	GO:0034987
Q15554	GO:0042803
Q15554	GO:0008022
P43378	GO:0004725
Q14393	GO:0030971
Q14393	GO:0001786
Q13619	GO:0031625
Q12857	GO:0000978
Q96QD8	GO:0015171
P67870	GO:0061629
Q96E17	GO:0003924
O43462	GO:0004222
Q9UJL9	GO:0001227
Q13557	GO:0042803
Q13557	GO:0044325
Q13557	GO:0005516
O43854	GO:0005178
Q04771	GO:0042803
Q04771	GO:0045296
Q04771	GO:0005524
Q9UNT1	GO:0003924
P0DKX0	GO:0000978
Q969S8	GO:0042826
Q7L4E1	GO:0046982
Q7L4E1	GO:0042803
Q9BZY9	GO:0061630
Q9BZY9	GO:0003713
Q8NH69	GO:0004984
Q6S5L8	GO:0030971
Q8WXA8	GO:0005231
Q5TA89	GO:0000978
P0DMM9	GO:0008146
Q7Z4Q2	GO:0051082
P04554	GO:0008270
P27797	GO:0005178
P27797	GO:0031625
P27797	GO:0051087
Q9BTP6	GO:0001227
P07858	GO:0005518
P07858	GO:0004197
P42575	GO:0004197
Q6IAA8	GO:0005085
P54821	GO:0000978
P54821	GO:0001228
P54821	GO:0061629
Q9ULV1	GO:0030165
Q9ULV1	GO:0001540
Q9ULV1	GO:0046982
Q9ULV1	GO:0031625
Q9ULV1	GO:0019955
Q9ULV1	GO:0004896
Q70CQ1	GO:0004843
Q70CQ1	GO:0004197
Q9NYB9	GO:0031267
Q9NYB9	GO:0031625
Q9NYB9	GO:0017124
Q9NSU2	GO:0003697
Q13324	GO:0008528
Q9Y2B5	GO:0031267
O14771	GO:0000978
Q99933	GO:0051087
O95817	GO:0045296
O95817	GO:0051087
Q92997	GO:0031267
Q92997	GO:0008013
Q96BQ3	GO:0061630
P78426	GO:0000978
Q969H0	GO:0043130
Q9Y337	GO:0004252
Q4JDL3	GO:0004725
Q6ZMW2	GO:0000978
Q6ZMW2	GO:0001228
O75771	GO:0003697
O95388	GO:0005178
Q15022	GO:0035064
Q15022	GO:0031490
Q06787	GO:0042803
Q06787	GO:0035064
Q06787	GO:0044325
P51148	GO:0019003
P51148	GO:0003924
Q6TDU7	GO:0008017
Q14651	GO:0051015
Q9NQS5	GO:0008528
Q96BU1	GO:0048306
A0A1B0GTS1	GO:0000978
P04150	GO:0000978
P04150	GO:0001228
P04150	GO:0004879
P04150	GO:0001227
Q9BY60	GO:0031625
Q13118	GO:0000978
Q13118	GO:0001228
P61224	GO:0005525
P61224	GO:0003924
P61224	GO:0019003
P26992	GO:0004896
P26992	GO:0019955
P48052	GO:0008270
O95989	GO:0000287
Q13188	GO:0005524
Q96Q77	GO:0000287
Q8N9L1	GO:0000978
O75439	GO:0004222
Q15120	GO:0005524
Q9BTC8	GO:0042826
Q9BTC8	GO:0003713
P31939	GO:0045296
Q6ICB4	GO:0042803
P49642	GO:0008270
P11233	GO:0031625
P11233	GO:0019003
P11233	GO:0051117
P11233	GO:0005525
O15405	GO:0042803
O15405	GO:0031490
O15405	GO:0003713
P49767	GO:0008083
O75027	GO:0042803
Q9H2A7	GO:0008009
Q8NC51	GO:0045296
Q8IYM9	GO:0061630
Q8IYM9	GO:0003713
P19876	GO:0008009
Q16740	GO:0051117
Q16740	GO:0004252
P30153	GO:0046982
O60806	GO:0000978
Q9H6S3	GO:0005085
Q9H6S3	GO:0045296
O60671	GO:0003684
P84022	GO:0061629
P84022	GO:0031625
P84022	GO:0008270
P84022	GO:0042803
P84022	GO:0043130
P84022	GO:0000978
P84022	GO:0001228
Q9H6K1	GO:0043130
Q14802	GO:0005254
O95954	GO:0008017
P0C1S8	GO:0004713
Q9NRG1	GO:0042803
Q9NRG1	GO:0000287
P59910	GO:0051087
Q9HBX9	GO:0008528
Q96EG3	GO:0000978
P10073	GO:0000978
O75531	GO:0042803
O75531	GO:0008022
O75531	GO:0047485
Q8TDV2	GO:0004984
Q8IU81	GO:0061630
Q6ZNC4	GO:0000978
O00522	GO:0008017
O00522	GO:0005546
A6NKF7	GO:0030165
Q13470	GO:0005524
Q14331	GO:0051015
Q8TB69	GO:0000978
A6NCS4	GO:0000978
A6NCS4	GO:0001228
Q9UGF5	GO:0004984
P17542	GO:0000978
P17542	GO:0042826
P17542	GO:0061629
Q8IYB5	GO:0005096
Q9BXA6	GO:0000287
Q9BXA6	GO:0005524
P29692	GO:0005085
P29692	GO:0045296
Q3MIS6	GO:0000978
Q99942	GO:0061630
Q99942	GO:0008270
P12956	GO:0008022
P12956	GO:0097110
P07478	GO:0004252
P07478	GO:0005509
P07478	GO:0004222
Q6W0C5	GO:0035064
Q695T7	GO:0015171
O00110	GO:0000978
Q8NH89	GO:0004984
P09936	GO:0031625
P09936	GO:0004197
P09936	GO:0043130
P54709	GO:0051117
Q9NS86	GO:0005524
Q9NWB6	GO:0045296
A1A4S6	GO:0005096
Q6BEB4	GO:0000978
O14908	GO:0045296
Q8NDQ6	GO:0000978
Q9H2B2	GO:0005544
Q9H2B2	GO:0005509
Q9H2B2	GO:0001786
Q6NZY7	GO:0031267
O15553	GO:0061630
O15553	GO:0008270
Q13185	GO:0035064
O94900	GO:0031490
P52198	GO:0005525
Q8NBF1	GO:0001228
P25090	GO:0001540
P35052	GO:0005507
Q9BR01	GO:0008146
Q9NPC7	GO:0000978
A0A1W2PRP0	GO:0000978
Q8N594	GO:0003713
P07992	GO:0003684
P07992	GO:0008022
P07992	GO:0003697
P57682	GO:0000978
Q9P0P0	GO:0061630
Q3MII6	GO:0005096
P57735	GO:0003924
Q96AJ9	GO:0005484
Q12829	GO:0003924
P28702	GO:0000978
P28702	GO:0001228
P28702	GO:0004879
Q8TCT6	GO:0042803
O14521	GO:0020037
Q8IWF2	GO:0004497
Q92828	GO:0051015
Q96NA2	GO:0031267
P02686	GO:0005516
O43914	GO:0042803
Q494X3	GO:0001227
Q96RE7	GO:0000978
A1A5B4	GO:0005254
O00459	GO:0019903
O00459	GO:0030971
Q96L33	GO:0005525
Q96L33	GO:0003924
P20719	GO:0000978
P20719	GO:0001228
P09105	GO:0020037
Q9Y664	GO:0051015
P09668	GO:0004197
P19087	GO:0005525
P49593	GO:0004722
Q96PH1	GO:0020037
P25208	GO:0000978
P25208	GO:0001228
Q9UMR3	GO:0000978
Q96SB4	GO:0000287
Q96SB4	GO:0005524
Q9BZI1	GO:0000978
Q9BZI1	GO:0001227
Q5JXB2	GO:0061631
Q6ZRY4	GO:0042803
P0CG48	GO:0031625
Q12952	GO:0000978
Q9NRB3	GO:0008146
Q00796	GO:0008270
O95402	GO:0003713
O75916	GO:0003924
P08247	GO:0043621
Q14526	GO:0000978
Q14526	GO:0042826
Q14526	GO:0001227
P20338	GO:0003924
P20338	GO:0019003
P83105	GO:0004252
P10809	GO:0051082
P10809	GO:0051087
Q96P15	GO:0004867
Q9UN37	GO:0008022
O75586	GO:0003713
Q86VW2	GO:0005085
P05455	GO:0000049
P00736	GO:0004252
P00736	GO:0005509
Q99638	GO:0017124
Q8NGZ6	GO:0004984
Q8N1L9	GO:0000978
Q8IYK8	GO:0005525
P41212	GO:0001227
Q96QA5	GO:0005546
Q96QA5	GO:0001786
P30793	GO:0042803
P30793	GO:0008270
P30793	GO:0003924
Q01638	GO:0004896
Q14119	GO:0001228
Q9BST9	GO:0031267
O43711	GO:0000978
Q15825	GO:0005231
Q15825	GO:1904315
Q9HAU6	GO:0005509
Q96CX3	GO:0000978
Q15485	GO:0048306
O14807	GO:0005525
O14807	GO:0003924
O14807	GO:0019003
Q8WZ19	GO:0031267
Q96HS1	GO:0004722
Q92530	GO:0046982
Q92530	GO:0042803
O60888	GO:0005507
O00238	GO:0005524
Q9Y278	GO:0008146
Q9NS28	GO:0003924
Q9NQ03	GO:0000978
Q9UBD0	GO:0000978
O75462	GO:0004896
O75462	GO:0019955
P09486	GO:0005518
P09486	GO:0005509
P49591	GO:0000978
P49591	GO:0000049
P49591	GO:0042803
P24347	GO:0004252
P24347	GO:0004222
Q9NS75	GO:0008528
Q96D42	GO:0001786
P12277	GO:0031625
Q15582	GO:0005518
Q8N4F7	GO:0061630
P17097	GO:0000978
Q92529	GO:0030971
Q9BR39	GO:0005546
Q9BR39	GO:0001786
Q96FG2	GO:0005096
O96006	GO:0000978
O96006	GO:0001228
O96006	GO:0003713
O95166	GO:0031625
Q684P5	GO:0005096
Q8TD08	GO:0017124
Q9UIK4	GO:0005516
Q9UIK4	GO:0005524
Q9H867	GO:0051117
P52741	GO:0000978
P52741	GO:0001227
Q5VYV0	GO:0000978
Q9BQL6	GO:0005178
Q66K89	GO:0000978
Q66K89	GO:0001227
Q66K89	GO:0061629
Q9Y3D8	GO:0005524
Q00987	GO:0002039
Q00987	GO:0047485
Q00987	GO:0031625
Q00987	GO:0061630
Q9Y5K5	GO:0004843
Q969Q5	GO:0003924
Q99697	GO:0061629
P35611	GO:0061629
P35611	GO:0046982
P35611	GO:0051015
P35611	GO:0045296
Q92786	GO:0000978
Q92786	GO:0001227
Q9Y264	GO:0030971
Q01892	GO:0000978
Q01892	GO:0001228
Q99801	GO:0043621
Q99801	GO:0004879
Q86SG5	GO:0043621
Q86SG5	GO:0005509
Q86SG5	GO:0048306
Q8IXL7	GO:0008270
P63165	GO:0031625
O14678	GO:0005524
O75368	GO:1990756
Q13617	GO:0031625
P07327	GO:0008270
O95168	GO:0008137
Q9NZC4	GO:0000978
Q9NZC4	GO:0001228
Q9UNQ0	GO:0042803
Q9BYT8	GO:0004222
P63272	GO:0046982
O14613	GO:0031267
O14613	GO:0005096
O95452	GO:0008017
O95452	GO:0051015
Q8TAK6	GO:0000978
Q6TDP4	GO:0051015
Q9H344	GO:0004984
Q9Y2P0	GO:0000978
Q5VVX9	GO:0061631
Q9Y261	GO:0000978
Q8NGK9	GO:0004984
Q99626	GO:0000978
Q99626	GO:0001227
P60903	GO:0048306
P60903	GO:0042803
P60903	GO:0044325
P60903	GO:0005509
Q9C035	GO:0061630
Q9C035	GO:0042803
Q9C035	GO:0003713
O14830	GO:0004722
Q9NQZ8	GO:0000978
Q9NQZ8	GO:0001228
Q96EB6	GO:0008022
Q96EB6	GO:0002039
O60765	GO:0000978
Q58FF8	GO:0051082
Q58FF8	GO:0005524
P43220	GO:0008528
Q9BX74	GO:0001540
P78424	GO:0000978
Q96F85	GO:0008022
Q96RE9	GO:0000978
Q96RE9	GO:0001228
P17024	GO:0001227
P08651	GO:0000978
P08651	GO:0001228
Q9NQL9	GO:0000978
P69892	GO:0020037
O76064	GO:0042803
O76064	GO:0008270
O76064	GO:0061630
Q9BUR4	GO:0031625
Q9BUR4	GO:0051087
P03372	GO:0000978
P03372	GO:0001228
P03372	GO:0051117
P03372	GO:0004879
P03372	GO:0008013
Q0VDF9	GO:0051082
Q0VDF9	GO:0005524
O43555	GO:0005179
P00352	GO:0005096
P29558	GO:0003697
Q8NGS1	GO:0004984
Q8TD17	GO:0001227
Q9BSG1	GO:0000978
Q9BSG1	GO:0008270
O00217	GO:0008137
Q9BYJ4	GO:0061630
Q9BYJ4	GO:0042803
P10415	GO:0042803
P10415	GO:0031625
P10415	GO:0046982
P22001	GO:0005249
O75319	GO:0004725
Q9H190	GO:0042803
Q9H190	GO:0046982
Q9H190	GO:0005546
Q9H190	GO:0008022
P07900	GO:0031625
P07900	GO:0042803
P07900	GO:0005524
P07900	GO:0042826
Q96A61	GO:0061630
Q96A61	GO:0003713
Q6UWZ7	GO:0008017
P31785	GO:0004896
P31785	GO:0019955
Q5VZB9	GO:0000978
P21926	GO:0005178
Q9UBE8	GO:0031625
Q9HCS4	GO:0000978
P40763	GO:0001228
P40763	GO:0019903
P40763	GO:0004879
Q16633	GO:0003713
Q9NQP4	GO:0001540
Q9NQP4	GO:0051087
Q02383	GO:0008270
Q9NPC1	GO:0008528
Q86XR8	GO:0008017
Q86XR8	GO:0042803
P21579	GO:0005544
P21579	GO:0005509
P21579	GO:0001786
P21579	GO:0019905
Q96R72	GO:0004984
P49763	GO:0008083
Q86UV6	GO:0061630
P31930	GO:0031625
P0DP08	GO:0034987
Q93098	GO:0005109
Q7Z6W7	GO:0051087
Q99990	GO:0003713
Q5NUL3	GO:0005504
Q13885	GO:0005525
O60248	GO:0000978
Q8IYM1	GO:0042803
Q8IYM1	GO:0005525
Q9NRL3	GO:0005516
Q9HBE5	GO:0004896
O60259	GO:0004252
Q9H1R2	GO:0004725
Q15389	GO:0030971
Q96RP9	GO:0003924
O95965	GO:0005178
P20339	GO:0003924
P20339	GO:0019003
Q86XE3	GO:0005509
P00441	GO:0031267
P00441	GO:0008270
P00441	GO:0005507
P00441	GO:0051087
Q15465	GO:0005509
Q8NGE3	GO:0004984
Q86TU7	GO:0003713
Q5HYR2	GO:0000978
Q96DB9	GO:0045296
P17987	GO:0051082
Q8NGR3	GO:0004984
Q99676	GO:0008270
O95363	GO:0000049
Q9NR71	GO:0008270
P48048	GO:0005546
Q16566	GO:0005516
Q49AA0	GO:0001227
Q16650	GO:0000978
Q8NGQ3	GO:0004984
Q5TID7	GO:0008017
O60645	GO:0045296
Q16322	GO:0005249
Q9BT81	GO:0000978
Q9Y483	GO:0035064
Q2I0M4	GO:0044325
Q2I0M4	GO:0005249
P24278	GO:0000978
P24278	GO:0001227
Q5SW96	GO:0005546
Q96SQ9	GO:0004497
Q96SQ9	GO:0020037
Q49A33	GO:0000978
O75953	GO:0051082
O75953	GO:0051087
O43639	GO:0030971
P04279	GO:0008270
P58181	GO:0004984
P41587	GO:0008528
Q93097	GO:0005109
Q14964	GO:0005525
Q14964	GO:0003924
Q13889	GO:0047485
Q9UGJ0	GO:0005524
Q68J44	GO:0042803
O00161	GO:0019905
Q86XJ1	GO:0008017
Q86XJ1	GO:0051015
P54922	GO:0000287
Q9Y6B6	GO:0003924
P17026	GO:0008270
Q9NVN3	GO:0005085
Q00403	GO:0008270
Q6P2D0	GO:0000978
Q9UER7	GO:0002039
Q9UER7	GO:0061629
Q9UER7	GO:0031625
Q9UER7	GO:0047485
Q9UER7	GO:0003713
Q9NZK5	GO:0042803
Q9NZK5	GO:0008270
Q9NZK5	GO:0008083
Q9BYV2	GO:0061630
Q9BYV2	GO:0008270
P57729	GO:0003924
Q9H091	GO:0042826
P47881	GO:0004984
P49639	GO:0000978
P49639	GO:0001228
Q9H159	GO:0005509
O43186	GO:0000978
O43186	GO:0001228
P08949	GO:0005179
Q9Y4X4	GO:0000978
Q9UGN4	GO:0001786
P23582	GO:0005179
P47887	GO:0004984
Q8N6P7	GO:0004896
Q3KRB8	GO:0005096
Q9HC16	GO:0008270
O00124	GO:0043130
Q96CF2	GO:0042803
Q8IVC4	GO:0000978
P01011	GO:0004867
O95229	GO:0047485
Q9Y5Z7	GO:0003713
Q8TC21	GO:0001227
Q9UNK4	GO:0005509
Q8N136	GO:1990756
Q9BXI6	GO:0030165
Q9BXI6	GO:0045296
O00571	GO:0003924
O00571	GO:0045296
Q4G0X4	GO:0042826
Q56UQ5	GO:0005509
P59666	GO:0042803
Q9HBJ8	GO:0042803
P63096	GO:0003924
Q86T24	GO:0000978
Q86T24	GO:0001227
Q96NA8	GO:0005484
Q13596	GO:0046982
Q13596	GO:0042803
Q13596	GO:0045296
Q02962	GO:0000978
O00488	GO:0008270
P61968	GO:0003713
Q92925	GO:0003713
Q14CW9	GO:0003713
P0CE72	GO:0005509
Q8NGR4	GO:0004984
P30307	GO:0004725
Q14847	GO:0051015
Q14847	GO:0045296
Q9BUY5	GO:0000978
Q8IUB5	GO:0004867
Q9Y508	GO:0061630
Q92556	GO:0005085
Q92556	GO:0017124
Q9NPQ8	GO:0005085
Q9UDV7	GO:0001227
O60381	GO:0000978
Q3SY52	GO:0000978
Q6EIG7	GO:0005509
Q92558	GO:0031267
Q9NRM6	GO:0004896
O00338	GO:0008146
Q8NH18	GO:0004984
Q9C0F3	GO:0001227
P34982	GO:0004984
Q8ND25	GO:0061630
Q14626	GO:0004896
Q14626	GO:0019955
Q8N8N0	GO:0031267
Q8N8N0	GO:0061630
Q9Y2X3	GO:0051117
Q9H0H3	GO:1990756
P08253	GO:0004252
P08253	GO:0004222
P14316	GO:0000978
P14316	GO:0001228
P56177	GO:0000978
Q8NH63	GO:0004984
Q00444	GO:0000978
Q9HBI6	GO:0005504
P78334	GO:0005231
P78334	GO:1904315
P78334	GO:0005254
P40426	GO:0000978
Q8N393	GO:0000978
Q8N393	GO:0001228
Q6Y1H2	GO:0004725
Q02575	GO:0001228
P47883	GO:0004984
Q15833	GO:0019905
P57764	GO:0005546
P57764	GO:0001786
O75030	GO:0000978
O75030	GO:0001228
O75030	GO:0001227
P08473	GO:0008270
P08473	GO:0001786
P08473	GO:0004222
O14641	GO:0005109
P55061	GO:0031625
Q2T9J0	GO:0004252
Q86XE5	GO:0042803
A0A2R8YED5	GO:0004984
Q86X55	GO:0008013
O95936	GO:0000978
O43791	GO:0031625
Q14694	GO:0004843
Q14694	GO:0002039
O60911	GO:0004252
O60911	GO:0004197
Q9NVC6	GO:0003713
P10589	GO:0004879
P10589	GO:0001227
Q0VAM2	GO:0005085
Q13795	GO:0005525
P09038	GO:0005178
P09038	GO:0008083
O14562	GO:0045296
O15211	GO:0005085
P22888	GO:0008528
O60285	GO:0002039
Q14894	GO:0042803
Q6JBY9	GO:0051015
Q15319	GO:0000978
Q15319	GO:0001228
O15498	GO:0005484
O15498	GO:0045296
P60228	GO:0047485
P60228	GO:0045296
Q2M218	GO:0000978
P11473	GO:0004879
O60936	GO:0005509
P01034	GO:0001540
P40225	GO:0008083
O14813	GO:0001228
Q9NQ30	GO:0005178
Q7L3S4	GO:0000978
O15400	GO:0019905
Q9BWF2	GO:0061630
P43694	GO:0000978
P43694	GO:0001228
P43694	GO:0061629
Q8WXX5	GO:0051087
Q16719	GO:0042803
Q9NR80	GO:0005085
P40425	GO:0000978
P40425	GO:0001228
Q99584	GO:0008270
Q99584	GO:0005509
Q99584	GO:0048306
Q5JU67	GO:0008017
Q8NGJ5	GO:0004984
Q9C040	GO:0061630
P49768	GO:0030165
P49768	GO:0008013
P49768	GO:0045296
Q96SQ5	GO:0000978
Q14520	GO:0004252
Q8TE02	GO:0000049
P52907	GO:0051015
P52907	GO:0045296
Q96T60	GO:0003684
Q96T60	GO:0005524
P15531	GO:0005525
Q96RK1	GO:0003713
Q8NGB4	GO:0004984
P42680	GO:0043621
P42680	GO:0004713
Q8NGL4	GO:0004984
Q9Y4A8	GO:0000978
Q8NEU8	GO:0001786
P31947	GO:0045296
Q9NWV4	GO:0008270
P00751	GO:0004252
Q9NZV8	GO:0005249
Q9Y6Q6	GO:0019955
Q495M3	GO:0015171
Q13823	GO:0005525
Q13823	GO:0003924
P01008	GO:0004867
P03951	GO:0004252
P67775	GO:0046982
P67775	GO:0004725
P67775	GO:0004722
Q7Z3I7	GO:0000978
Q7Z3I7	GO:0001227
A6NFD8	GO:0000978
P05543	GO:0004867
Q5U5Q3	GO:0061630
Q9UII5	GO:0000978
P13349	GO:0000978
P20151	GO:0004252
Q96C28	GO:0000978
P60033	GO:0005178
P08217	GO:0004252
Q96K75	GO:0000978
P04070	GO:0004252
O95721	GO:0005484
O95721	GO:0019905
Q9Y5X3	GO:0045296
Q9UIE0	GO:0000978
Q53GI3	GO:0000978
Q9NTK5	GO:0045296
Q9NTK5	GO:0005524
Q15291	GO:0035064
P68133	GO:0005524
Q93088	GO:0008270
A0A0B4J1V1	GO:0034987
P81877	GO:0003697
P28347	GO:0000978
O43278	GO:0004867
P49354	GO:0008017
Q7Z7E8	GO:0061631
P48436	GO:0001228
Q14469	GO:0000978
P63316	GO:0048306
P63316	GO:0051015
P63316	GO:0005509
P02760	GO:0042803
P02760	GO:0020037
P02760	GO:0004867
Q15185	GO:0051082
Q15185	GO:0051087
Q8NGN5	GO:0004984
Q5TEC3	GO:0000978
O95352	GO:0042803
Q96PX1	GO:0061630
Q8WU79	GO:0005096
P12980	GO:0000978
Q9HAD4	GO:0005085
Q5SNT2	GO:0051015
Q9P0V9	GO:0003924
A0A0C4DH41	GO:0034987
P25788	GO:0031625
P01116	GO:0003924
P01116	GO:0019003
O15254	GO:0005504
Q96FN5	GO:0008017
Q03135	GO:0031267
Q03135	GO:0044325
Q8NHW3	GO:0000978
P63220	GO:0047485
Q9BYM8	GO:0043130
Q9Y4Z2	GO:0001227
Q9P0M6	GO:0031490
O95140	GO:0031625
O95140	GO:0003924
Q8N3Y3	GO:0030145
Q5HYK9	GO:0000978
Q16594	GO:0051117
Q16594	GO:0002039
Q16594	GO:0003713
Q9UI09	GO:0008137
Q8WZ94	GO:0004984
O95292	GO:0008017
O95292	GO:0046982
O95292	GO:0042803
Q92963	GO:0019003
Q92963	GO:0005525
Q92963	GO:0003924
Q92963	GO:0005516
Q96B01	GO:0003697
O95810	GO:0001786
P40313	GO:0004252
Q9H1J5	GO:0005109
Q99747	GO:0019905
Q8NH05	GO:0004984
P51553	GO:0000287
P09603	GO:0042803
P09603	GO:0008083
Q96CV9	GO:0031267
Q96CV9	GO:0008022
Q13564	GO:0031625
Q9BWM5	GO:0000978
P52888	GO:0004222
Q96SQ7	GO:0000978
P00558	GO:0005524
Q9UL25	GO:0005525
Q9UL25	GO:0003924
Q9UL25	GO:0019003
Q06587	GO:0061630
Q8NGB2	GO:0004984
P09960	GO:0008270
Q96AT9	GO:0042803
Q15181	GO:0000287
Q7Z6J6	GO:0005178
Q96RB7	GO:0004984
P49760	GO:0004713
P48378	GO:0000978
O96004	GO:0000978
O96004	GO:0001227
P46108	GO:0043621
P46108	GO:0030971
P46108	GO:0017124
Q96MX3	GO:0000978
Q96MX3	GO:0001228
O96018	GO:0001540
Q6J9G0	GO:0004713
Q8NH61	GO:0004984
Q8TEC5	GO:0061630
P55055	GO:0000978
P55055	GO:0004879
P28288	GO:0042803
Q9GZN2	GO:0000978
Q9H1J7	GO:0005109
P20132	GO:0042803
P51151	GO:0005525
P51151	GO:0019003
O95199	GO:0005085
P12829	GO:0051015
Q99767	GO:0001540
P22736	GO:0000978
Q96JJ3	GO:0030971
P29992	GO:0003924
Q9UHF4	GO:0004896
Q15916	GO:0000978
Q15916	GO:0001227
Q12800	GO:0001228
P51671	GO:0008009
Q8NH74	GO:0004984
Q07001	GO:1904315
A9UHW6	GO:0008022
Q8NHG8	GO:0061630
Q8NEX5	GO:0004867
P05198	GO:0003743
Q13554	GO:0042803
Q13554	GO:0005516
Q9P2N7	GO:0047485
Q8NEX6	GO:0004867
Q9Y6X2	GO:0008022
Q8TCV5	GO:0004867
Q99988	GO:0042803
Q9P255	GO:0000978
Q2M5E4	GO:0003924
P55042	GO:0005525
P61088	GO:0031625
P61088	GO:0043130
Q8NCB2	GO:0005516
Q8WYK2	GO:0000978
Q8WYK2	GO:0001227
P29966	GO:0051015
P62873	GO:0003924
P14652	GO:0000978
Q96ES7	GO:0035064
P17275	GO:0000978
P23025	GO:0042803
P13598	GO:0005178
Q8N6Q3	GO:0005178
Q8N6Q3	GO:0048306
P23759	GO:0000978
Q96FZ2	GO:0003697
Q9H2W2	GO:0000978
Q9H2W2	GO:0061629
O15182	GO:0008017
O95461	GO:0030145
Q16696	GO:0004497
Q16696	GO:0020037
Q9H492	GO:0008017
Q9BUY7	GO:0005509
Q9UHV5	GO:0005085
P04233	GO:0004896
P04233	GO:0001540
O00560	GO:0046982
O00560	GO:0005546
O00560	GO:0005109
O00560	GO:0047485
Q9NQG7	GO:0031267
Q9NQG7	GO:0042803
Q8IUQ4	GO:0061630
Q8IUQ4	GO:0008022
Q8IUQ4	GO:0008270
P47869	GO:0005231
Q96S66	GO:0005254
P45973	GO:0035064
O75529	GO:0003713
P07093	GO:0004867
Q49AN0	GO:0003697
P00918	GO:0008270
Q86WD7	GO:0004867
Q9H2H0	GO:0008270
Q9UKV5	GO:0061630
Q9UKV5	GO:0051087
Q8IYT3	GO:0008017
P30550	GO:0008528
Q68DI1	GO:0000978
Q09028	GO:0042826
Q9H341	GO:0004984
P11387	GO:0000978
P11387	GO:0005524
P11387	GO:0003697
Q86VK4	GO:0000978
P51692	GO:0000978
P51692	GO:0001228
P51692	GO:0042803
O75365	GO:0004725
Q9H8T0	GO:0061631
P10588	GO:0000978
P10588	GO:0004879
Q9NP80	GO:0005524
Q8TF39	GO:0000978
Q9Y371	GO:0042803
Q86VN1	GO:0008022
Q0ZGT2	GO:0051015
Q01524	GO:0042803
Q13516	GO:0000978
I1YAP6	GO:0061630
P38432	GO:0008022
Q96S59	GO:0031267
Q7Z2E3	GO:0003684
Q7Z2E3	GO:0003725
Q7Z2E3	GO:0047485
Q7Z2E3	GO:0003697
Q13568	GO:0001228
Q13616	GO:0031625
A8MYZ5	GO:0005516
Q12982	GO:0005096
Q12982	GO:0005509
Q8IVV7	GO:0061630
Q9NRX4	GO:0044325
P53701	GO:0020037
Q86YT9	GO:0005178
Q86YT9	GO:0042803
P28676	GO:0046982
P28676	GO:0042803
P28676	GO:0005509
P15382	GO:0044325
P15382	GO:0005249
P31270	GO:0000978
P85298	GO:0005096
Q8WV22	GO:0061630
P00326	GO:0008270
Q9BRV8	GO:0031267
Q9UKG1	GO:0042803
Q9UKG1	GO:0001786
Q96NI8	GO:0000978
Q15327	GO:0002039
Q15327	GO:0061629
Q15327	GO:0042826
Q15327	GO:0003713
Q15762	GO:0005178
O95343	GO:0000978
Q9Y577	GO:0061630
Q9H832	GO:0061631
P46098	GO:1904315
P14651	GO:0000978
P14651	GO:0001228
P08684	GO:0004497
Q9UL40	GO:0003725
P33316	GO:0000287
P08134	GO:0005525
Q9HC78	GO:0000978
Q96MX6	GO:0043130
Q8NCV1	GO:0003725
Q9Y6Q3	GO:0008270
Q7L0R7	GO:0061630
P17600	GO:0005524
Q6P2C8	GO:0003713
P68431	GO:0045296
Q9UK53	GO:0035064
Q8IWF6	GO:0005085
Q9H902	GO:0008017
O75718	GO:0005518
Q9UBF1	GO:0031625
Q5T124	GO:0043130
P51617	GO:0046982
P51617	GO:0042803
Q14588	GO:0000978
P23946	GO:0004252
Q9Y3B8	GO:0000287
Q9H7X7	GO:0003924
Q15776	GO:0000978
Q7LFL8	GO:0008270
Q14019	GO:0051015
P17658	GO:0005249
Q8N9I0	GO:0005544
Q8N9I0	GO:0005509
Q8N9I0	GO:0001786
Q8N9I0	GO:0019905
O14745	GO:0030165
O14745	GO:0008013
P49368	GO:0051082
Q8IY31	GO:0031267
Q8TAQ5	GO:0000978
O75593	GO:0001228
Q16534	GO:0000978
Q16534	GO:0001228
Q5JUK2	GO:0000978
Q9Y4X5	GO:0061630
Q9Y4X5	GO:0031625
Q9Y4X5	GO:0008270
O94769	GO:0005178
Q96TC7	GO:0008017
P47872	GO:0008528
Q8IV20	GO:0005507
P0C869	GO:0005509
Q969J5	GO:0004896
Q8IW75	GO:0004867
Q15517	GO:0042803
P06276	GO:0001540
P35520	GO:0042803
P35520	GO:0031625
P35520	GO:0020037
P62913	GO:0031625
Q15797	GO:0000978
Q15797	GO:0001228
Q96KN3	GO:0000978
Q9BUB5	GO:0005524
Q13422	GO:0000978
Q9H4M7	GO:0005546
Q96G25	GO:0000978
O94929	GO:0051015
A0A075B7B6	GO:0034987
P15907	GO:0042803
A8K830	GO:0003713
O14495	GO:0005178
Q14790	GO:0004197
P01241	GO:0005179
P01241	GO:0008083
Q9NRA0	GO:0031267
O43159	GO:0035064
Q96EQ8	GO:0061630
Q96EQ8	GO:0008270
Q96EQ8	GO:0002039
Q8NH83	GO:0004984
Q99623	GO:0042803
Q13285	GO:0000978
Q13285	GO:0004879
Q15646	GO:0003725
Q8NGJ6	GO:0004984
O94907	GO:0008083
Q96RR4	GO:0005509
